Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,rushing_yds,rushing_tds,rushing_twoptm,rushing_yds_FF_pts,rushing_tds_FF_pts,rushing_twoptm_FF_pts,total_FF_pts
55844,JAC,KC,Sun,9,8,2013,1,C.Daniel,KC,False,-2,0,0,-1.0,0.0,0.0,-1.0
55844,JAC,KC,Sun,9,8,2013,1,K.Davis,KC,False,12,0,0,1.0,0.0,0.0,1.0
55844,JAC,KC,Sun,9,8,2013,1,J.Charles,KC,False,77,1,0,7.0,6.0,0.0,13.0
55846,NYJ,TB,Sun,9,8,2013,1,G.Smith,NYJ,True,47,0,0,4.0,0.0,0.0,4.0
55846,NYJ,TB,Sun,9,8,2013,1,J.Kerley,NYJ,True,-1,0,0,-1.0,0.0,0.0,-1.0
55846,NYJ,TB,Sun,9,8,2013,1,B.Powell,NYJ,True,29,0,0,2.0,0.0,0.0,2.0
55846,NYJ,TB,Sun,9,8,2013,1,C.Ivory,NYJ,True,15,0,0,1.0,0.0,0.0,1.0
55846,NYJ,TB,Sun,9,8,2013,1,J.Freeman,TB,False,0,0,0,0.0,0.0,0.0,0.0
55846,NYJ,TB,Sun,9,8,2013,1,D.Martin,TB,False,65,1,0,6.0,6.0,0.0,12.0
55845,NO,ATL,Sun,9,8,2013,1,D.Brees,NO,True,2,0,0,0.0,0.0,0.0,0.0
55845,NO,ATL,Sun,9,8,2013,1,D.Sproles,NO,True,22,0,0,2.0,0.0,0.0,2.0
55845,NO,ATL,Sun,9,8,2013,1,M.Ingram,NO,True,11,0,0,1.0,0.0,0.0,1.0
55845,NO,ATL,Sun,9,8,2013,1,P.Thomas,NO,True,43,0,0,4.0,0.0,0.0,4.0
55845,NO,ATL,Sun,9,8,2013,1,M.Ryan,ATL,False,12,0,0,1.0,0.0,0.0,1.0
55845,NO,ATL,Sun,9,8,2013,1,J.Rodgers,ATL,False,-1,0,0,-1.0,0.0,0.0,-1.0
55845,NO,ATL,Sun,9,8,2013,1,S.Jackson,ATL,False,77,0,0,7.0,0.0,0.0,7.0
55847,PIT,TEN,Sun,9,8,2013,1,I.Redman,PIT,True,9,0,0,0.0,0.0,0.0,0.0
55847,PIT,TEN,Sun,9,8,2013,1,L.Stephens-Howling,PIT,True,19,0,0,1.0,0.0,0.0,1.0
55847,PIT,TEN,Sun,9,8,2013,1,A.Brown,PIT,True,4,0,0,0.0,0.0,0.0,0.0
55847,PIT,TEN,Sun,9,8,2013,1,J.Locker,TEN,False,3,0,0,0.0,0.0,0.0,0.0
55847,PIT,TEN,Sun,9,8,2013,1,J.Battle,TEN,False,21,1,0,2.0,6.0,0.0,8.0
55847,PIT,TEN,Sun,9,8,2013,1,S.Greene,TEN,False,18,0,0,1.0,0.0,0.0,1.0
55847,PIT,TEN,Sun,9,8,2013,1,C.Johnson,TEN,False,70,0,0,7.0,0.0,0.0,7.0
55848,STL,ARI,Sun,9,8,2013,1,S.Bradford,STL,True,1,0,1,0.0,0.0,2.0,2.0
55848,STL,ARI,Sun,9,8,2013,1,T.Austin,STL,True,-1,0,0,-1.0,0.0,0.0,-1.0
55848,STL,ARI,Sun,9,8,2013,1,Z.Stacy,STL,True,4,0,0,0.0,0.0,0.0,0.0
55848,STL,ARI,Sun,9,8,2013,1,D.Richardson,STL,True,63,0,0,6.0,0.0,0.0,6.0
55848,STL,ARI,Sun,9,8,2013,1,R.Mendenhall,ARI,False,60,0,0,6.0,0.0,0.0,6.0
55848,STL,ARI,Sun,9,8,2013,1,A.Smith,ARI,False,26,0,0,2.0,0.0,0.0,2.0
55849,SF,GB,Sun,9,8,2013,1,C.Kaepernick,SF,True,22,0,0,2.0,0.0,0.0,2.0
55849,SF,GB,Sun,9,8,2013,1,F.Gore,SF,True,44,1,0,4.0,6.0,0.0,10.0
55849,SF,GB,Sun,9,8,2013,1,K.Hunter,SF,True,24,0,0,2.0,0.0,0.0,2.0
55849,SF,GB,Sun,9,8,2013,1,A.Rodgers,GB,False,13,0,0,1.0,0.0,0.0,1.0
55849,SF,GB,Sun,9,8,2013,1,J.Kuhn,GB,False,3,0,0,0.0,0.0,0.0,0.0
55849,SF,GB,Sun,9,8,2013,1,R.Cobb,GB,False,6,0,0,0.0,0.0,0.0,0.0
55849,SF,GB,Sun,9,8,2013,1,E.Lacy,GB,False,41,1,0,4.0,6.0,0.0,10.0
