Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,receiving_rec_FF_pts,receiving_yds_FF_pts,receiving_tds_FF_pts,receiving_twoptm_FF_pts,total_FF_pts
55840,CHI,CIN,Sun,9,8,2013,1,J.Gresham,CIN,False,5,35,0,0,3.0,5.0,0.0,0.0,8.0
55840,CHI,CIN,Sun,9,8,2013,1,A.Green,CIN,False,9,162,2,0,16.0,9.0,12.0,0.0,37.0
55840,CHI,CIN,Sun,9,8,2013,1,M.Sanu,CIN,False,4,19,0,0,1.0,4.0,0.0,0.0,5.0
55840,CHI,CIN,Sun,9,8,2013,1,T.Eifert,CIN,False,5,47,0,0,4.0,5.0,0.0,0.0,9.0
55841,CLE,MIA,Sun,9,8,2013,1,T.Richardson,CLE,True,2,30,0,0,3.0,2.0,0.0,0.0,5.0
55841,CLE,MIA,Sun,9,8,2013,1,J.Cameron,CLE,True,9,108,1,0,10.0,9.0,6.0,0.0,25.0
55841,CLE,MIA,Sun,9,8,2013,1,G.Barnidge,CLE,True,1,9,0,0,0.0,1.0,0.0,0.0,1.0
55841,CLE,MIA,Sun,9,8,2013,1,D.Bess,CLE,True,5,47,0,0,4.0,5.0,0.0,0.0,9.0
55841,CLE,MIA,Sun,9,8,2013,1,C.Ogbonnaya,CLE,True,1,10,0,0,1.0,1.0,0.0,0.0,2.0
55841,CLE,MIA,Sun,9,8,2013,1,T.Benjamin,CLE,True,3,44,0,0,4.0,3.0,0.0,0.0,7.0
55841,CLE,MIA,Sun,9,8,2013,1,G.Little,CLE,True,4,26,0,0,2.0,4.0,0.0,0.0,6.0
55841,CLE,MIA,Sun,9,8,2013,1,T.Gurley,CLE,True,1,15,0,0,1.0,1.0,0.0,0.0,2.0
55841,CLE,MIA,Sun,9,8,2013,1,L.Miller,MIA,False,1,7,0,0,0.0,1.0,0.0,0.0,1.0
55841,CLE,MIA,Sun,9,8,2013,1,D.Thomas,MIA,False,1,5,0,0,0.0,1.0,0.0,0.0,1.0
55841,CLE,MIA,Sun,9,8,2013,1,C.Clay,MIA,False,5,54,0,0,5.0,5.0,0.0,0.0,10.0
55841,CLE,MIA,Sun,9,8,2013,1,M.Wallace,MIA,False,1,15,0,0,1.0,1.0,0.0,0.0,2.0
55841,CLE,MIA,Sun,9,8,2013,1,B.Hartline,MIA,False,9,114,1,0,11.0,9.0,6.0,0.0,26.0
55841,CLE,MIA,Sun,9,8,2013,1,B.Gibson,MIA,False,7,77,0,0,7.0,7.0,0.0,0.0,14.0
55842,DET,MIN,Sun,9,8,2013,1,R.Bush,DET,True,4,101,1,0,10.0,4.0,6.0,0.0,20.0
55842,DET,MIN,Sun,9,8,2013,1,J.Bell,DET,True,5,67,0,0,6.0,5.0,0.0,0.0,11.0
55842,DET,MIN,Sun,9,8,2013,1,J.Fauria,DET,True,3,27,1,0,2.0,3.0,6.0,0.0,11.0
55842,DET,MIN,Sun,9,8,2013,1,K.Durham,DET,True,1,11,0,0,1.0,1.0,0.0,0.0,2.0
55842,DET,MIN,Sun,9,8,2013,1,B.Pettigrew,DET,True,2,6,0,0,0.0,2.0,0.0,0.0,2.0
55842,DET,MIN,Sun,9,8,2013,1,N.Burleson,DET,True,6,78,0,0,7.0,6.0,0.0,0.0,13.0
55842,DET,MIN,Sun,9,8,2013,1,P.Edwards,DET,True,3,30,0,0,3.0,3.0,0.0,0.0,6.0
55842,DET,MIN,Sun,9,8,2013,1,C.Johnson,DET,True,4,37,0,0,3.0,4.0,0.0,0.0,7.0
55842,DET,MIN,Sun,9,8,2013,1,A.Peterson,MIN,False,4,18,1,0,1.0,4.0,6.0,0.0,11.0
55842,DET,MIN,Sun,9,8,2013,1,J.Simpson,MIN,False,7,140,0,0,14.0,7.0,0.0,0.0,21.0
55842,DET,MIN,Sun,9,8,2013,1,K.Rudolph,MIN,False,2,27,0,0,2.0,2.0,0.0,0.0,4.0
55842,DET,MIN,Sun,9,8,2013,1,Z.Line,MIN,False,1,8,0,0,0.0,1.0,0.0,0.0,1.0
55842,DET,MIN,Sun,9,8,2013,1,C.Patterson,MIN,False,1,10,0,0,1.0,1.0,0.0,0.0,2.0
55842,DET,MIN,Sun,9,8,2013,1,G.Jennings,MIN,False,3,33,0,0,3.0,3.0,0.0,0.0,6.0
55843,IND,OAK,Sun,9,8,2013,1,A.Bradshaw,IND,True,1,7,0,0,0.0,1.0,0.0,0.0,1.0
55843,IND,OAK,Sun,9,8,2013,1,V.Ballard,IND,True,1,-5,0,0,-1.0,1.0,0.0,0.0,0.0
55843,IND,OAK,Sun,9,8,2013,1,D.Allen,IND,True,1,20,1,0,2.0,1.0,6.0,0.0,9.0
55843,IND,OAK,Sun,9,8,2013,1,C.Fleener,IND,True,1,7,0,0,0.0,1.0,0.0,0.0,1.0
55843,IND,OAK,Sun,9,8,2013,1,D.Heyward-Bey,IND,True,3,33,0,0,3.0,3.0,0.0,0.0,6.0
55843,IND,OAK,Sun,9,8,2013,1,R.Wayne,IND,True,8,96,1,0,9.0,8.0,6.0,0.0,23.0
55843,IND,OAK,Sun,9,8,2013,1,T.Hilton,IND,True,3,20,0,0,2.0,3.0,0.0,0.0,5.0
55843,IND,OAK,Sun,9,8,2013,1,D.McFadden,OAK,False,3,18,0,0,1.0,3.0,0.0,0.0,4.0
55843,IND,OAK,Sun,9,8,2013,1,R.Streater,OAK,False,5,70,0,0,7.0,5.0,0.0,0.0,12.0
55843,IND,OAK,Sun,9,8,2013,1,M.Rivera,OAK,False,2,26,0,0,2.0,2.0,0.0,0.0,4.0
55843,IND,OAK,Sun,9,8,2013,1,D.Moore,OAK,False,5,43,1,0,4.0,5.0,6.0,0.0,15.0
55843,IND,OAK,Sun,9,8,2013,1,B.Butler,OAK,False,1,8,0,0,0.0,1.0,0.0,0.0,1.0
55843,IND,OAK,Sun,9,8,2013,1,M.Reece,OAK,False,1,9,0,0,0.0,1.0,0.0,0.0,1.0
55843,IND,OAK,Sun,9,8,2013,1,J.Mastrud,OAK,False,1,41,0,0,4.0,1.0,0.0,0.0,5.0
55843,IND,OAK,Sun,9,8,2013,1,J.Ford,OAK,False,1,2,0,0,0.0,1.0,0.0,0.0,1.0
55844,JAC,KC,Sun,9,8,2013,1,J.Todman,JAC,True,3,20,0,0,2.0,3.0,0.0,0.0,5.0
55844,JAC,KC,Sun,9,8,2013,1,J.Forsett,JAC,True,4,22,0,0,2.0,4.0,0.0,0.0,6.0
55844,JAC,KC,Sun,9,8,2013,1,M.Brown,JAC,True,1,14,0,0,1.0,1.0,0.0,0.0,2.0
55844,JAC,KC,Sun,9,8,2013,1,W.Ta'ufo'ou,JAC,True,1,11,0,0,1.0,1.0,0.0,0.0,2.0
55844,JAC,KC,Sun,9,8,2013,1,C.Harbor,JAC,True,1,5,0,0,0.0,1.0,0.0,0.0,1.0
55844,JAC,KC,Sun,9,8,2013,1,A.Reisner,JAC,True,3,31,0,0,3.0,3.0,0.0,0.0,6.0
55844,JAC,KC,Sun,9,8,2013,1,C.Shorts,JAC,True,3,40,0,0,4.0,3.0,0.0,0.0,7.0
55844,JAC,KC,Sun,9,8,2013,1,A.Sanders,JAC,True,3,14,0,0,1.0,3.0,0.0,0.0,4.0
55844,JAC,KC,Sun,9,8,2013,1,C.Gray,KC,False,1,6,0,0,0.0,1.0,0.0,0.0,1.0
55844,JAC,KC,Sun,9,8,2013,1,K.Davis,KC,False,1,5,0,0,0.0,1.0,0.0,0.0,1.0
55844,JAC,KC,Sun,9,8,2013,1,J.Charles,KC,False,3,23,0,0,2.0,3.0,0.0,0.0,5.0
55844,JAC,KC,Sun,9,8,2013,1,J.Hemingway,KC,False,1,3,1,0,0.0,1.0,6.0,0.0,7.0
55844,JAC,KC,Sun,9,8,2013,1,D.Avery,KC,False,2,11,1,0,1.0,2.0,6.0,0.0,9.0
55844,JAC,KC,Sun,9,8,2013,1,D.McCluster,KC,False,3,43,0,0,4.0,3.0,0.0,0.0,7.0
55844,JAC,KC,Sun,9,8,2013,1,A.Sherman,KC,False,4,44,0,0,4.0,4.0,0.0,0.0,8.0
55844,JAC,KC,Sun,9,8,2013,1,A.Fasano,KC,False,2,8,0,0,0.0,2.0,0.0,0.0,2.0
55844,JAC,KC,Sun,9,8,2013,1,D.Bowe,KC,False,4,30,0,0,3.0,4.0,0.0,0.0,7.0
55846,NYJ,TB,Sun,9,8,2013,1,J.Kerley,NYJ,True,3,45,0,0,4.0,3.0,0.0,0.0,7.0
55846,NYJ,TB,Sun,9,8,2013,1,B.Powell,NYJ,True,4,35,0,0,3.0,4.0,0.0,0.0,7.0
55846,NYJ,TB,Sun,9,8,2013,1,S.Hill,NYJ,True,6,39,0,0,3.0,6.0,0.0,0.0,9.0
55846,NYJ,TB,Sun,9,8,2013,1,S.Holmes,NYJ,True,1,13,0,0,1.0,1.0,0.0,0.0,2.0
55846,NYJ,TB,Sun,9,8,2013,1,K.Reuland,NYJ,True,1,7,0,0,0.0,1.0,0.0,0.0,1.0
55846,NYJ,TB,Sun,9,8,2013,1,E.Gates,NYJ,True,1,17,0,0,1.0,1.0,0.0,0.0,2.0
55846,NYJ,TB,Sun,9,8,2013,1,K.Winslow,NYJ,True,7,79,1,0,7.0,7.0,6.0,0.0,20.0
55846,NYJ,TB,Sun,9,8,2013,1,T.Bohanon,NYJ,True,1,21,0,0,2.0,1.0,0.0,0.0,3.0
55846,NYJ,TB,Sun,9,8,2013,1,D.Martin,TB,False,2,-1,0,0,-1.0,2.0,0.0,0.0,1.0
55846,NYJ,TB,Sun,9,8,2013,1,M.Williams,TB,False,4,52,1,0,5.0,4.0,6.0,0.0,15.0
55846,NYJ,TB,Sun,9,8,2013,1,B.Leonard,TB,False,1,4,0,0,0.0,1.0,0.0,0.0,1.0
55846,NYJ,TB,Sun,9,8,2013,1,N.Byham,TB,False,1,1,0,0,0.0,1.0,0.0,0.0,1.0
