esbid,firstName,auction,lastName,gsisPlayerId,rank,teamAbbr,position,id,stock
JAC627460,Vincent,4,Jackson,00-0023496,121,TB,WR,2506400,even
MCK656764,Jerick,4,McKinnon,00-0031376,122,MIN,RB,2543715,even
WIN623708,Jameis,4,Winston,00-0031503,123,TB,QB,2552033,even
BOO019902,Devontae,4,Booker,00-0032972,124,DEN,RB,2555223,even
COU709400,Kirk,3,Cousins,00-0029604,125,WAS,QB,2532820,even
TAY764868,Tyrod,3,Taylor,00-0028118,126,BUF,QB,2495240,even
STA583786,James,3,Starks,00-0027791,127,GB,RB,497206,even
GAR115573,Pierre,3,Garcon,00-0026345,128,WAS,WR,2346,even
HOW239418,Jordan,3,Howard,00-0032780,129,CHI,RB,2555418,even
WAL468678,Mike,3,Wallace,00-0026901,130,BAL,WR,2507763,even
TRE425415,Laquon,3,Treadwell,00-0032951,131,MIN,WR,2555214,even
MOR317547,Alfred,3,Morris,00-0029141,132,DAL,RB,2533457,even
GOR190310,Josh,1,Gordon,00-0029664,133,CLE,WR,2537931,even
ALL164177,Dwayne,3,Allen,00-0029689,134,IND,TE,2533046,even
BEN379259,Martellus,3,Bennett,00-0026201,135,NE,TE,1062,even
PRO494028,C.J.,2,Prosise,00-0032393,136,SEA,RB,2555417,even
MAT576281,Rishard,2,Matthews,00-0029580,137,TEN,WR,2532903,even
DOR488199,Phillip,2,Dorsett,00-0032208,138,IND,WR,2552424,even
MIL625333,Zach,2,Miller,00-0027125,139,CHI,TE,238457,even
VER287449,Shane,2,Vereen,00-0027994,140,NYG,RB,2495473,even
STA134157,Matthew,2,Stafford,00-0026498,141,DET,QB,79860,even
SHA495155,Tajae,0,Sharpe,00-0032778,142,TEN,WR,2555317,even
ALL469092,Javorius,1,Allen,00-0031577,143,BAL,RB,2552631,even
TAN298716,Ryan,1,Tannehill,00-0029701,144,MIA,QB,2532956,even
RYA238179,Matt,1,Ryan,00-0026143,145,ATL,QB,310,even
GRA207087,Jimmy,1,Graham,00-0027696,146,SEA,TE,497236,even
WIT559021,Jason,1,Witten,00-0022127,147,DAL,TE,2505629,even
False,Seattle,1,Seahawks,False,148,SEA,DEF,100030,even
SPR711296,Darren,1,Sproles,00-0023564,149,PHI,RB,2506467,even
False,Kansas City,1,Chiefs,False,150,KC,DEF,100016,even
False,Denver,1,Broncos,False,151,DEN,DEF,100009,even
False,Arizona,1,Cardinals,False,152,ARI,DEF,100026,even
WAR371408,Spencer,1,Ware,00-0030414,153,KC,RB,2540204,even
GIN403290,Ted,1,Ginn,00-0025396,154,CAR,WR,2507166,even
COO152641,Jared,0,Cook,00-0027061,155,GB,TE,71265,even
False,Houston,1,Texans,False,156,HOU,DEF,100013,even
HAR111877,Justin,1,Hardy,00-0031570,157,ATL,WR,2552418,even
BOL283010,Anquan,1,Boldin,00-0022084,158,DET,WR,2505587,even
False,Carolina,1,Panthers,False,159,CAR,DEF,100004,even
FLA009602,Joe,1,Flacco,00-0026158,160,BAL,QB,382,even
DRA542186,Shaun,1,Draughn,00-0028202,161,SF,RB,2495461,even
FIT792915,Ryan,1,Fitzpatrick,00-0023682,162,NYJ,QB,2506581,even
SMI031126,Alex,1,Smith,00-0023436,163,KC,QB,2506340,even
False,Los Angeles,1,Rams,False,164,LA,DEF,100017,even
EBR474619,Eric,1,Ebron,00-0031387,165,DET,TE,2543466,even
CAT093927,Chandler,1,Catanzaro,00-0030896,166,ARI,K,2550325,even
PER227681,Paul,1,Perkins,00-0032417,167,NYG,RB,2555460,even
JOH127799,Chris,1,Johnson,00-0026164,168,ARI,RB,262,even
HIL737842,Ronnie,1,Hillman,00-0029683,169,,RB,2533437,even
GAN308500,Graham,1,Gano,00-0026858,170,CAR,K,71309,even
False,New England,1,Patriots,False,171,NE,DEF,100021,even
HAU342462,Steven,1,Hauschka,00-0025944,172,SEA,K,2507374,even
SAN796299,Cairo,1,Santos,00-0031203,173,KC,K,2550636,even
STI417540,Kenny,0,Stills,00-0030085,174,MIA,WR,2540202,even
FUN405541,Devin,1,Funchess,00-0032055,175,CAR,WR,2552458,even
WAS000000,DeAndre,0,Washington,00-0032940,176,OAK,RB,2555464,even
BRI129168,Teddy,1,Bridgewater,00-0031237,177,MIN,QB,2543465,even
ART387205,Cameron,1,Artis-Payne,00-0031599,178,CAR,RB,2552375,even
False,Cincinnati,1,Bengals,False,179,CIN,DEF,100006,even
False,Minnesota,1,Vikings,False,180,MIN,DEF,100020,even
BOS743355,Chris,0,Boswell,00-0031136,181,PIT,K,2550545,even
BAI159977,Dan,0,Bailey,00-0028660,182,DAL,K,2495259,even
GOS721266,Stephen,0,Gostkowski,00-0024333,183,NE,K,2506922,even
CUT288111,Jay,0,Cutler,00-0024226,184,CHI,QB,2495824,even
DIX440855,Kenneth,0,Dixon,00-0032411,185,BAL,RB,2555229,even
MCF084974,Darren,1,McFadden,00-0026144,186,DAL,RB,284,even
OSW479182,Brock,0,Osweiler,00-0029682,187,HOU,QB,2533436,even
PRE285723,Dak,0,Prescott,00-0033077,188,DAL,QB,2555260,even
CLA715825,Charles,0,Clay,00-0028112,189,BUF,TE,2495139,even
WOO561144,Robert,0,Woods,00-0030431,190,BUF,WR,2540169,even
WAL062390,Clive,1,Walford,00-0032256,191,OAK,TE,2552397,even
FUL503598,Will,0,Fuller,00-0033127,192,HOU,WR,2555346,even
GRE398545,Dorial,7,Green-Beckham,00-0032218,193,PHI,WR,2552491,even
PER440170,Breshad,0,Perriman,00-0032054,194,BAL,WR,2552597,even
WRI486076,Kendall,1,Wright,00-0029708,195,TEN,WR,2532977,even
SMI733120,Steve,1,Smith,00-0020337,196,BAL,WR,2504595,even
BRA101548,Sam,0,Bradford,00-0027854,197,MIN,QB,497095,even
TUC224643,Justin,0,Tucker,00-0029597,198,BAL,K,2536340,even
False,Pittsburgh,0,Steelers,False,199,PIT,DEF,100027,even
ELL164917,Andre,0,Ellington,00-0030287,200,ARI,RB,2539217,even
SEF177981,Austin,0,Seferian-Jenkins,00-0031418,201,TB,TE,2543683,even
BOY378353,Tyler,0,Boyd,00-0033009,202,CIN,WR,2555466,even
LEW218646,Dion,0,Lewis,00-0028087,203,NE,RB,2495469,even
CRU827288,Victor,1,Cruz,00-0027265,204,NYG,WR,2507855,even
WES136836,Charcandrick,0,West,00-0030668,205,KC,RB,2550268,even
BLU106654,Alfred,0,Blue,00-0031075,206,HOU,RB,2543600,even
HIG784208,Tim,0,Hightower,00-0026289,207,NO,RB,4383,even
LAF184731,Brandon,0,LaFell,00-0027681,208,CIN,WR,497302,even
MCM226186,Brandon,0,McManus,00-0029822,209,DEN,K,2541556,even
JAM239797,Jesse,0,James,00-0032135,210,PIT,TE,2552633,even
CRO369933,Mason,0,Crosby,00-0025580,211,GB,K,2507232,even
SMI269700,Geno,0,Smith,00-0030565,212,NYJ,QB,2539335,even
HOO570770,Austin,0,Hooper,00-0032392,213,ATL,TE,2555415,even
SMA757345,Wendell,0,Smallwood,00-0032782,214,PHI,RB,2555461,even
HOG008552,Chris,0,Hogan,00-0028237,215,NE,WR,2530515,even
GRI283140,Robert,0,Griffin,00-0029665,216,CLE,QB,2533033,even
ERV286234,Tyler,0,Ervin,00-0032404,217,HOU,RB,2555234,even
False,Washington,0,Redskins,False,218,WAS,DEF,100032,even
False,Philadelphia,0,Eagles,False,219,PHI,DEF,100025,even
DRA280410,Kenyan,0,Drake,00-0033118,220,MIA,RB,2555230,even
WIL532584,Terrance,0,Williams,00-0030542,221,DAL,WR,2539205,even
NEL488051,J.J.,0,Nelson,00-0032112,222,ARI,WR,2552656,even
TYE029662,Will,0,Tye,00-0032004,223,NYG,TE,2553830,even
KAE371576,Colin,0,Kaepernick,00-0027974,224,SF,QB,2495186,even
SPI347627,C.J.,0,Spiller,00-0027861,225,NO,RB,497204,even
GAB221145,Blaine,0,Gabbert,00-0027948,226,SF,QB,2495441,even
False,Detroit,0,Lions,False,227,DET,DEF,100010,even
False,Indianapolis,0,Colts,False,228,IND,DEF,100014,even
JAN400354,Sebastian,0,Janikowski,00-0019646,229,OAK,K,2504257,even
AND650999,Antonio,0,Andrews,00-0030789,230,TEN,RB,2550474,even
HIG322107,Rashard,0,Higgins,00-0032977,231,CLE,WR,2555468,even
NUG461506,Mike,0,Nugent,00-0023482,232,CIN,K,2506386,even
False,Green Bay,0,Packers,False,233,GB,DEF,100011,even
AME359918,Danny,0,Amendola,00-0026035,234,NE,WR,2649,even
WIL747168,Luke,0,Willson,00-0030089,235,SEA,TE,2541199,even
NOV427288,Nick,0,Novak,00-0023096,236,HOU,K,2506194,even
HOP165345,Dustin,0,Hopkins,00-0030098,237,WAS,K,2539227,even
MCC600777,Josh,0,McCown,00-0021206,238,CLE,QB,2505076,even
MON677133,Ty,0,Montgomery,00-0032200,239,GB,WR,2552429,even
MYE407253,Jason,0,Myers,00-0031492,240,JAX,K,2553112,even
False,New York Jets,0,Jets,False,241,NYJ,DEF,100024,even
VIN196019,Adam,0,Vinatieri,00-0016919,242,IND,K,2503471,even
HOY440791,Brian,0,Hoyer,00-0026625,243,CHI,QB,81294,even
LAM580646,Josh,0,Lambo,00-0032087,244,SD,K,2553833,even
PRA143616,Matt,0,Prater,00-0023853,245,DET,K,2506677,even
False,New York Giants,0,Giants,False,246,NYG,DEF,100023,even
CAR297693,Dan,0,Carpenter,00-0026003,247,BUF,K,2507401,even
COO469595,Travis,0,Coons,00-0031112,248,,K,2550551,even
JAN413854,Jeff,0,Janis,00-0031001,249,GB,WR,2543750,even
False,Tampa Bay,0,Buccaneers,False,250,TB,DEF,100031,even
ROD493098,Richard,0,Rodgers,00-0031384,251,GB,TE,2550313,even
DAW705989,Phil,0,Dawson,00-0004091,252,SF,K,2500351,even
WIL436992,Maxx,0,Williams,00-0031558,253,BAL,TE,2552468,even
False,Buffalo,0,Bills,False,254,BUF,DEF,100003,even
KEA511674,Jermaine,0,Kearse,00-0029159,255,SEA,WR,2532887,even
False,Oakland,0,Raiders,False,256,OAK,DEF,100018,even
MCD589658,Vance,0,McDonald,00-0030470,257,SF,TE,2540215,even
ZUE563610,Greg,0,Zuerlein,00-0029621,258,LA,K,2534797,even
WIL648299,Albert,0,Wilson,00-0030669,259,KC,WR,2550272,even
GOU258729,Robbie,0,Gould,00-0023252,260,CHI,K,2506264,even
BRO502703,Josh,0,Brown,00-0021940,261,NYG,K,2505459,even
ADA218591,Davante,0,Adams,00-0031381,262,GB,WR,2543495,even
BAR722763,Connor,0,Barth,00-0026138,263,,K,2507463,even
False,Baltimore,0,Ravens,False,264,BAL,DEF,100002,even
WAL585473,Blair,0,Walsh,00-0029576,265,MIN,K,2532968,even
False,Jacksonville,0,Jaguars,False,266,JAX,DEF,100015,even
STU678742,Caleb,0,Sturgis,00-0030390,267,PHI,K,2539637,even
JON404681,James,0,Jones,00-0025465,268,,WR,2507183,even
JEN372222,Malcolm,0,Jenkins,00-0026990,269,PHI,DB,79848,even
BRY500226,Matt,0,Bryant,00-0020578,270,ATL,K,2504797,even
FOR007550,Kai,0,Forbath,00-0028787,271,NO,K,2495150,even
SHO727038,Cecil,0,Shorts,00-0028052,272,,WR,2495341,even
GIL677592,Crockett,0,Gillmore,00-0030992,273,BAL,TE,2543794,even
HAR376781,Dwayne,0,Harris,00-0028114,274,NYG,WR,2495159,even
INM264861,Dontrelle,0,Inman,00-0028411,275,SD,WR,2530700,even
False,San Francisco,0,49ers,False,276,SF,DEF,100029,even
GRE378950,Virgil,0,Green,00-0028142,277,DEN,TE,2495288,even
TAM511848,Jacob,0,Tamme,00-0026267,278,ATL,TE,324,even
BRI708216,Kenny,0,Britt,00-0027006,279,LA,WR,71217,even
OLI200892,Branden,0,Oliver,00-0031277,280,SD,RB,2550658,even
False,Dallas,0,Cowboys,False,281,DAL,DEF,100008,even
ZEN513046,Zach,0,Zenner,00-0031665,282,DET,RB,2553631,even
RUD559717,Kyle,0,Rudolph,00-0027981,283,MIN,TE,2495438,even
BEA434808,Cole,0,Beasley,00-0029000,284,DAL,WR,2535698,even
False,Miami,0,Dolphins,False,285,MIA,DEF,100019,even
ING667979,Melvin,0,Ingram,00-0029249,286,SD,LB,2532870,even
False,Atlanta,0,Falcons,False,287,ATL,DEF,100001,even
LYN526034,Paxton,0,Lynch,00-0033108,288,DEN,QB,2555316,even
GOF219636,Jared,0,Goff,00-0033106,289,LA,QB,2555334,even
PAY611897,Jordan,0,Payton,00-0032974,290,CLE,WR,2555370,even
HEN617052,Hunter,0,Henry,00-0033090,291,SD,TE,2555341,even
CAR559411,Leonte,0,Carroo,00-0033060,292,MIA,WR,2555215,even
JOH105729,Charles,0,Johnson,00-0030113,293,MIN,WR,2541147,even
CAM107841,Jordan,0,Cameron,00-0028040,294,MIA,TE,2495267,even
COL479374,Alex,0,Collins,00-0032426,295,SEA,RB,2555430,even
BRO356941,Corey,0,Brown,00-0031118,296,CAR,WR,2550546,even
COO679646,Pharoh,0,Cooper,00-0033111,297,LA,WR,2555419,even
GRE298482,Ladarius,1,Green,00-0029275,298,PIT,TE,2532853,even
WAT311042,Benjamin,0,Watson,00-0022943,299,BAL,TE,2506122,even
FOL058566,Nick,0,Foles,00-0029567,300,KC,QB,2532842,even
