player_id,player_name,player_position,player_team,player_bye,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9
359.p.26697,Terrance Williams,WR,Dal,7,6.40,0.00,10.80,14.40,12.00,11.50,0.00,4.50,0.00
359.p.28456,Clive Walford,TE,Oak,10,5.50,17.00,4.70,4.30,0.00,4.50,1.50,6.10,0.00
359.p.8432,Nick Folk,K,NYJ,11,11.00,13.00,3.00,5.00,8.00,3.00,6.00,7.00,0.00
359.p.9547,Brian Hoyer,,,,0.00,3.12,18.88,19.78,23.78,12.08,1.96,0.00,0.00
359.p.29327,Cody Kessler,QB,Cle,13,0.00,0.00,9.66,12.12,6.48,21.74,3.08,0.00,0.00
359.p.29236,Carson Wentz,QB,Phi,4,19.22,12.60,21.04,0.00,17.92,7.36,8.12,11.78,0.00
359.p.28638,Trevor Siemian,QB,Den,11,11.12,12.34,28.98,6.72,0.00,13.30,10.18,7.84,0.00
359.p.8819,Eddie Royal,,,,15.70,15.20,5.10,24.10,11.30,9.40,0.00,0.00,0.00
359.p.26767,Kenny Stills,WR,Mia,8,2.60,11.90,12.60,14.40,0.00,3.20,21.00,0.00,0.00
359.p.25793,Mohamed Sanu,WR,Atl,11,21.00,4.90,6.10,4.20,5.30,15.70,3.60,23.40,12.40
359.p.25991,Jermaine Kearse,WR,Sea,5,10.70,3.10,3.10,5.30,0.00,6.50,8.10,9.70,0.00
359.p.29399,Tyreek Hill,WR,KC,5,7.90,2.70,5.30,13.20,0.00,4.00,13.10,21.50,0.00
359.p.28428,Dorial Green-Beckham,WR,Phi,4,3.40,3.80,6.30,0.00,7.30,3.30,8.80,10.50,0.00
359.p.26787,Mike Gillislee,RB,Buf,10,0.60,8.80,2.00,5.30,6.60,12.10,2.00,18.40,0.00
359.p.25774,Dwayne Allen,,,,17.30,4.50,6.50,4.00,17.00,1.90,0.00,0.00,0.00
359.p.28547,J.J. Nelson,WR,Ari,9,2.10,0.00,0.00,3.40,0.00,5.90,11.80,27.90,0.00
